name,oblast_name,doctors_to_people_ration,decl_count,full_name
Кіцманський р.,Чернівецька,0.29784065524944153,51328,"Кіцманський р., Чернівецька область"
Новоселицький р.,Чернівецька,0.2973351905346773,57795,"Новоселицький р., Чернівецька область"
Прилуцький р.,Чернігівська,0.29627873903768664,74735,"Прилуцький р., Чернігівська область"
Виноградівський р.,Закарпатська,0.2869234631662004,72468,"Виноградівський р., Закарпатська область"
Білоцерківський р.,Київська,0.2851692651838758,187145,"Білоцерківський р., Київська область"
Чернігівський р.,Чернігівська,0.2805299730691226,39574,"Чернігівський р., Чернігівська область"
Бучацький р.,Тернопільська,0.2753217331109783,39552,"Бучацький р., Тернопільська область"
Борщівський р.,Тернопільська,0.2725276134596579,42011,"Борщівський р., Тернопільська область"
Літинський р.,Вінницька,0.2666968923144623,28951,"Літинський р., Вінницька область"
Володимир-Волинський р.,Волинська,0.2650363983320376,47937,"Володимир-Волинський р., Волинська область"
Фастівський р.,Київська,0.2628494738372003,65732,"Фастівський р., Київська область"
м. Хмельницький,Хмельницька,0.2623753493111815,223396,"м. Хмельницький, Хмельницька область"
Вінницький р.,Вінницька,0.2621352224545032,68945,"Вінницький р., Вінницька область"
Дергачівський р.,Харківська,0.25658845212798803,80071,"Дергачівський р., Харківська область"
Пологівський р.,Запорізька,0.2564102564102564,29543,"Пологівський р., Запорізька область"
Дунаєвецький р.,Хмельницька,0.2535277045735064,45474,"Дунаєвецький р., Хмельницька область"
Чигиринський р.,Черкаська,0.2530022938874646,16313,"Чигиринський р., Черкаська область"
Ужгородський р.,Закарпатська,0.2508766095484805,48595,"Ужгородський р., Закарпатська область"
Перечинський р.,Закарпатська,0.24863561207871804,23530,"Перечинський р., Закарпатська область"
Буський р.,Львівська,0.2425991534188061,35689,"Буський р., Львівська область"
Тетіївський р.,Київська,0.2411381721726549,24191,"Тетіївський р., Київська область"
Сумський р.,Сумська,0.23930203572912334,45877,"Сумський р., Сумська область"
Костопільський р.,Рівненська,0.2391263427097429,46617,"Костопільський р., Рівненська область"
Зміївський р.,Харківська,0.237923914504292,50916,"Зміївський р., Харківська область"
Томашпільський р.,Вінницька,0.23775028790073924,26559,"Томашпільський р., Вінницька область"
Хорошівський р.,Житомирська,0.23671593227341986,24449,"Хорошівський р., Житомирська область"
Попільнянський р.,Житомирська,0.23610696888358684,25297,"Попільнянський р., Житомирська область"
Тульчинський р.,Вінницька,0.2309596016124533,38640,"Тульчинський р., Вінницька область"
Лозівський р.,Харківська,0.22971247307404366,62168,"Лозівський р., Харківська область"
Сколівський р.,Львівська,0.228053399096594,33228,"Сколівський р., Львівська область"
Кам`янсько-Дніпровський р.,Запорізька,0.22589466175246697,26529,"Кам`янсько-Дніпровський р., Запорізька область"
м. Хмільник,Вінницька,0.22541960248863244,49725,"м. Хмільник, Вінницька область"
Костянтинівський р.,Донецька,0.2238933500019648,64160,"Костянтинівський р., Донецька область"
Рожнятівський р.,Іван-Франківська,0.22212729602733874,44387,"Рожнятівський р., Іван-Франківська область"
Новгородківський р.,Кіровоградська,0.2217650030184681,10302,"Новгородківський р., Кіровоградська область"
Решетилівський р.,Полтавська,0.2173182922733469,18927,"Решетилівський р., Полтавська область"
Оржицький р.,Полтавська,0.21623576775492231,16114,"Оржицький р., Полтавська область"
м. Маріуполь,Донецька,0.21289080290548285,273511,"м. Маріуполь, Донецька область"
Казанківський р.,Миколаївська,0.2054644409540856,13768,"Казанківський р., Миколаївська область"
Конотопський р.,Сумська,0.20525920430276265,83083,"Конотопський р., Сумська область"
Чернігівський р.,Запорізька,0.203190084323885,12621,"Чернігівський р., Запорізька область"
Вітовський р.,Миколаївська,0.20156868815872647,35545,"Вітовський р., Миколаївська область"
Тячівський р.,Закарпатська,0.19982963544021687,109302,"Тячівський р., Закарпатська область"
Бердянський р.,Запорізька,0.19950898310271312,91332,"Бердянський р., Запорізька область"
Дубенський р.,Рівненська,0.197019824057434,60855,"Дубенський р., Рівненська область"
Шепетівський р.,Хмельницька,0.1962287342328124,59249,"Шепетівський р., Хмельницька область"
Лебединський р.,Сумська,0.19401537198716512,35726,"Лебединський р., Сумська область"
м. Кропивницький,Кіровоградська,0.19038679034336595,175676,"м. Кропивницький, Кіровоградська область"
Теплицький р.,Вінницька,0.1900120876920401,20269,"Теплицький р., Вінницька область"
м. Новогродівка,Донецька,0.18964536317087047,49880,"м. Новогродівка, Донецька область"
